video_filename,matched_music_filename,match_rank,video_score_rhythm,target_volume_from_emotion,music_score_tempo,music_score_volume,video_emotion,score_difference
ACCEDE09590.mp4,15017.mp3,1,0.7188405797101449,0.5,0.7142857142857143,0.4994127654450633,neutral,0.0025710499896836603
ACCEDE09590.mp4,15015.mp3,2,0.7188405797101449,0.5,0.7142857142857143,0.4989092251772968,neutral,0.0028228201235669104
ACCEDE09590.mp4,15020.mp3,3,0.7188405797101449,0.5,0.7142857142857143,0.4975193474820037,neutral,0.0035177589712134527
ACCEDE09584.mp4,14748.mp3,1,0.4753623188405797,0.2,0.4761904761904761,0.1917248348512559,sad,0.0045516612493202435
ACCEDE09584.mp4,14747.mp3,2,0.4753623188405797,0.2,0.4761904761904761,0.1892663434793178,sad,0.005780906935289293
ACCEDE09584.mp4,14746.mp3,3,0.4753623188405797,0.2,0.4761904761904761,0.1786892719984725,sad,0.011069442675711944
ACCEDE09235.mp4,14863.mp3,1,0.7072463768115942,0.8,0.7142857142857143,0.828902617411589,happy,0.01797097744285453
ACCEDE09235.mp4,14864.mp3,2,0.7072463768115942,0.8,0.7142857142857143,0.8506853183896134,happy,0.028862327931866716
ACCEDE09235.mp4,14865.mp3,3,0.7072463768115942,0.8,0.7142857142857143,0.8654131897573463,happy,0.03622626361573317
ACCEDE09553.mp4,14753.mp3,1,0.6231884057971014,0.5,0.625,0.5344507550933786,neutral,0.01813117464813857
ACCEDE09553.mp4,14451.mp3,2,0.6231884057971014,0.5,0.5555555555555556,0.5056552274949188,neutral,0.03664403886823231
ACCEDE09553.mp4,14443.mp3,3,0.6231884057971014,0.5,0.5555555555555556,0.483279900261794,neutral,0.04217647498987592
ACCEDE09547.mp4,14418.mp3,1,0.5797101449275363,0.2,0.588235294117647,0.2013079130113277,sad,0.004916531100719199
ACCEDE09547.mp4,14419.mp3,2,0.5797101449275363,0.2,0.588235294117647,0.2020825367346405,sad,0.005303842962375599
ACCEDE09547.mp4,14416.mp3,3,0.5797101449275363,0.2,0.588235294117647,0.1969185386201131,sad,0.005803305284998811
ACCEDE09792.mp4,15041.mp3,1,0.8724637681159421,0.2,0.8333333333333333,0.2559694145441058,sad,0.04754992466335731
ACCEDE09792.mp4,15042.mp3,2,0.8724637681159421,0.2,0.8333333333333333,0.3075250180017929,sad,0.07332772639220084
ACCEDE09792.mp4,15043.mp3,3,0.8724637681159421,0.2,0.8333333333333333,0.3443560954626204,sad,0.0917432651226146
ACCEDE09786.mp4,14753.mp3,1,0.6405797101449275,0.5,0.625,0.5344507550933786,neutral,0.02501523261915306
ACCEDE09786.mp4,15017.mp3,2,0.6405797101449275,0.5,0.7142857142857143,0.4994127654450633,neutral,0.03714661934786173
ACCEDE09786.mp4,15015.mp3,3,0.6405797101449275,0.5,0.7142857142857143,0.4989092251772968,neutral,0.03739838948174498
ACCEDE09779.mp4,14865.mp3,1,0.8463768115942029,1.0,0.7142857142857143,0.8654131897573463,angry,0.13333895377557115
ACCEDE09779.mp4,14864.mp3,2,0.8463768115942029,1.0,0.7142857142857143,0.8506853183896134,angry,0.1407028894594376
ACCEDE09779.mp4,14863.mp3,3,0.8463768115942029,1.0,0.7142857142857143,0.828902617411589,angry,0.15159423994844978
ACCEDE09751.mp4,15041.mp3,1,0.782608695652174,0.2,0.8333333333333333,0.2559694145441058,sad,0.05334702611263256
ACCEDE09751.mp4,15042.mp3,2,0.782608695652174,0.2,0.8333333333333333,0.3075250180017929,sad,0.07912482784147609
ACCEDE09751.mp4,14380.mp3,3,0.782608695652174,0.2,0.625,0.2028314041997932,sad,0.08022004992598357
ACCEDE09745.mp4,14380.mp3,1,0.6231884057971014,0.2,0.625,0.2028314041997932,sad,0.002321499201345875
ACCEDE09745.mp4,14374.mp3,2,0.6231884057971014,0.2,0.625,0.1957739571465503,sad,0.003018818528174136
ACCEDE09745.mp4,14376.mp3,3,0.6231884057971014,0.2,0.625,0.2054545156967956,sad,0.0036330549498470727
ACCEDE09619.mp4,14418.mp3,1,0.5768115942028985,0.2,0.588235294117647,0.2013079130113277,sad,0.006365806463038068
ACCEDE09619.mp4,14419.mp3,2,0.5768115942028985,0.2,0.588235294117647,0.2020825367346405,sad,0.006753118324694468
ACCEDE09619.mp4,14416.mp3,3,0.5768115942028985,0.2,0.588235294117647,0.1969185386201131,sad,0.00725258064731768
ACCEDE09625.mp4,14863.mp3,1,0.736231884057971,0.8,0.7142857142857143,0.828902617411589,happy,0.025424393591922834
ACCEDE09625.mp4,14864.mp3,2,0.736231884057971,0.8,0.7142857142857143,0.8506853183896134,happy,0.03631574408093502
ACCEDE09625.mp4,14865.mp3,3,0.736231884057971,0.8,0.7142857142857143,0.8654131897573463,happy,0.04367967976480147
ACCEDE09631.mp4,15023.mp3,1,0.2289855072463768,0.5,0.3448275862068965,0.4910656314566214,neutral,0.06238822375194915
ACCEDE09631.mp4,15022.mp3,2,0.2289855072463768,0.5,0.3448275862068965,0.4886632834616103,neutral,0.0635893977494547
ACCEDE09631.mp4,14762.mp3,3,0.2289855072463768,0.5,0.3571428571428571,0.5107867786095391,neutral,0.06947206425300971
ACCEDE09382.mp4,14380.mp3,1,0.6782608695652174,0.2,0.625,0.2028314041997932,sad,0.028046136882505276
ACCEDE09382.mp4,14374.mp3,2,0.6782608695652174,0.2,0.625,0.1957739571465503,sad,0.028743456209333537
ACCEDE09382.mp4,14376.mp3,3,0.6782608695652174,0.2,0.625,0.2054545156967956,sad,0.029357692631006474
